itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
904,4.411,0.725,4.626,6.054,0.657,3.532,0.924,0.369,2.349,1.344,0.208,1.196,0.253,0.694,0.233,4.086,16.115,4.351,0.729,0.245,7.988,9.301,1.949,0.721,0.294
905,4.011,0.549,4.278,4.62,0.531,3.304,1.107,0.37,1.893,0.977,0.198,0.713,0.243,0.56,0.253,3.899,16.284,3.309,0.73,0.239,6.69,8.859,1.415,0.597,0.241
906,4.505,0.484,4.457,4.586,0.501,3.685,1.353,0.425,1.561,0.994,0.212,0.573,0.252,0.439,0.266,3.987,16.223,2.506,0.793,0.242,6.169,8.954,1.266,0.576,0.205
907,5.962,0.558,5.051,6.199,0.586,4.593,1.645,0.549,1.456,1.445,0.251,0.841,0.279,0.377,0.271,4.283,15.502,2.188,0.924,0.254,6.173,9.665,1.538,0.681,0.186
908,8.074,0.754,5.773,9.118,0.77,5.78,1.925,0.725,1.553,2.224,0.302,1.444,0.317,0.401,0.268,4.541,13.995,2.389,1.106,0.273,6.425,10.776,2.115,0.895,0.18
909,10.236,1.011,6.329,12.432,1.01,6.884,2.122,0.909,1.718,3.107,0.35,2.204,0.355,0.504,0.258,4.441,11.927,2.968,1.302,0.291,6.737,11.861,2.799,1.169,0.183
910,11.711,1.258,6.512,15.008,1.245,7.556,2.187,1.042,1.807,3.842,0.383,2.921,0.384,0.651,0.244,3.887,9.763,3.67,1.47,0.302,7.098,12.481,3.382,1.421,0.191
911,12.03,1.426,6.373,16.046,1.409,7.757,2.108,1.08,1.741,4.201,0.397,3.393,0.401,0.779,0.23,3.069,7.972,4.207,1.567,0.308,7.414,12.292,3.684,1.572,0.203
912,11.101,1.472,6.062,15.292,1.455,7.718,1.913,1.013,1.559,4.065,0.396,3.482,0.408,0.831,0.221,2.319,6.709,4.351,1.571,0.31,7.661,11.188,3.595,1.568,0.221
913,9.254,1.39,5.776,13.111,1.37,7.594,1.661,0.868,1.317,3.501,0.39,3.178,0.415,0.78,0.222,1.84,5.854,4.029,1.482,0.316,7.709,9.318,3.108,1.405,0.25
914,7.097,1.222,5.529,10.326,1.192,7.504,1.403,0.695,1.074,2.746,0.39,2.619,0.428,0.644,0.234,1.746,5.234,3.346,1.328,0.326,7.462,7.033,2.345,1.138,0.293
915,5.273,1.037,5.253,7.8,0.99,7.428,1.172,0.549,0.882,2.088,0.399,2.012,0.45,0.483,0.252,2.031,4.786,2.524,1.151,0.34,6.841,4.85,1.535,0.858,0.348
