itr,af3a,af3hb,af3t,af4a,af4hb,af4t,pxa,pxhb,pxt,af3lb,af3g,af4lb,af4g,pxlb,pxg,pzt,pza,pzlb,pzhb,pzg,t8t,t8a,t8lb,t8hb,t8g
959,14.706,1.333,6.921,12.635,1.445,9.799,2.064,0.777,1.193,5.767,0.47,5.295,0.373,0.484,0.22,8.698,20.547,3.68,1.112,0.393,9.709,7.749,3.035,1.005,0.295
960,17.972,1.421,8.191,16.601,1.55,12.306,1.835,0.757,1.31,5.469,0.459,5.043,0.376,0.414,0.229,9.228,22.093,3.133,1.086,0.363,10.057,8.674,2.98,1.03,0.278
961,20.461,1.432,8.879,20.042,1.546,13.642,1.559,0.7,1.289,4.543,0.421,4.242,0.356,0.415,0.228,9.808,22.898,2.479,1.096,0.331,9.677,8.98,2.672,1.009,0.262
962,21.149,1.365,8.882,21.663,1.423,13.502,1.351,0.632,1.174,3.271,0.37,3.115,0.321,0.574,0.217,10.004,22.467,1.958,1.169,0.299,8.533,8.581,2.214,0.966,0.252
963,19.661,1.245,8.244,20.764,1.219,11.944,1.271,0.592,1.013,2.032,0.322,1.988,0.288,0.931,0.204,9.72,20.719,1.717,1.299,0.27,7.041,7.616,1.779,0.942,0.259
964,16.369,1.123,7.223,17.556,1.013,9.499,1.301,0.61,0.886,1.132,0.296,1.176,0.271,1.428,0.2,9.108,18.117,1.727,1.453,0.251,5.453,6.344,1.555,0.974,0.294
965,12.24,1.041,6.216,13.128,0.876,7.029,1.366,0.694,0.84,0.688,0.302,0.856,0.28,1.926,0.21,8.502,15.481,1.857,1.616,0.245,4.211,5.144,1.63,1.068,0.361
966,8.392,1.018,5.518,8.887,0.837,5.24,1.395,0.814,0.898,0.596,0.34,0.988,0.313,2.264,0.23,8.111,13.469,1.967,1.802,0.251,3.579,4.477,1.949,1.194,0.449
967,5.627,1.044,5.194,5.861,0.887,4.361,1.365,0.924,1.066,0.65,0.403,1.385,0.363,2.327,0.255,7.975,12.334,2.012,2.03,0.264,3.645,4.638,2.388,1.297,0.536
968,4.155,1.093,5.063,4.349,0.996,4.227,1.327,0.981,1.342,0.709,0.477,1.855,0.42,2.11,0.275,7.877,11.877,2.032,2.293,0.28,4.239,5.578,2.838,1.329,0.597
969,3.706,1.134,5.056,4.063,1.13,4.637,1.357,0.961,1.715,0.751,0.543,2.261,0.472,1.703,0.284,7.745,11.641,2.045,2.543,0.298,5.07,6.931,3.213,1.267,0.617
970,3.833,1.135,5.207,4.527,1.252,5.427,1.5,0.868,2.139,0.804,0.586,2.549,0.508,1.237,0.283,7.627,11.296,2.062,2.7,0.315,5.825,8.213,3.489,1.123,0.593
971,4.275,1.101,5.686,5.437,1.338,6.574,1.758,0.728,2.513,0.876,0.596,2.699,0.523,0.83,0.278,7.694,10.978,2.118,2.688,0.328,6.272,9.014,3.703,0.954,0.54
972,5.039,1.079,6.518,6.798,1.388,7.911,2.075,0.58,2.714,1.0,0.579,2.765,0.515,0.55,0.276,8.049,11.211,2.322,2.479,0.332,6.265,9.195,3.894,0.847,0.481
973,6.244,1.126,7.469,8.804,1.428,9.087,2.365,0.459,2.665,1.226,0.545,2.864,0.49,0.39,0.285,8.688,12.344,2.74,2.12,0.325,5.781,8.894,4.122,0.878,0.441
974,7.93,1.257,8.164,11.597,1.472,9.783,2.559,0.383,2.38,1.54,0.508,3.036,0.452,0.301,0.305,9.515,14.218,3.384,1.712,0.311,5.001,8.482,4.421,1.069,0.429
